MAP 0.042606355445
MrecR 0.0627782523427
1          0.3417 0.2500	87433@4 351764@5 68212@8
2          0.1304 0.2500	243463@4 114601@186
3          0.0094 0.0094	14397@106
4          0.0000 0.0000	
5          0.0129 0.0106	364455@94 304654@160 69523@193
6          0.0000 0.0000	
7          0.0114 0.0114	383819@88
8          0.3929 0.5000	12985@2 319911@7
9          0.0191 0.0182	25591@55 189725@100
10         0.0075 0.0050	147298@199 267178@202
11         0.0209 0.0154	151156@65 217191@76
12         0.0060 0.0060	30292@167
13         0.0000 0.0000	
14         0.0000 0.0000	
15         0.0270 0.0270	288653@37
16         0.0059 0.0069	252395@145 210377@406
17         0.0030 0.0030	309550@337
18         0.0795 0.1667	254212@6 46535@13 95044@75 235858@205 319945@285
19         0.0000 0.0000	
20         0.1097 0.1111	307098@9 348798@10 201768@14 22776@58 269504@116 264858@290
21         0.0047 0.0027	177172@377 12985@441 302247@442
22         0.0000 0.0000	
23         0.0098 0.0095	316985@105 373012@197
24         0.0819 0.2000	308096@5 77024@90 110310@128
25         0.0160 0.0123	87433@81 68212@136 244143@206 221730@235 248603@236
26         0.0000 0.0000	
27         0.0367 0.0278	245936@36 334240@46 253868@77
28         0.2667 0.2000	91177@5 14397@6
29         0.0000 0.0000	
30         0.0000 0.0000	
31         0.0094 0.0094	78736@106
32         0.0000 0.0000	
33         0.0837 0.2500	25150@4 192716@36 319911@45 123630@152 37133@250
34         0.0000 0.0000	
35         0.0031 0.0031	288653@326
36         0.0096 0.0096	12985@104
37         0.0294 0.0294	14397@34
38         0.0000 0.0000	
39         0.2554 0.1429	314086@7 38941@8 24825@9 165401@12 357810@23
40         0.0000 0.0000	
41         0.0302 0.0204	217471@49 14397@50
42         0.0000 0.0000	
43         0.0132 0.0128	178632@78 34195@148
44         0.0046 0.0046	22636@218
45         0.0851 0.2000	337757@5 191309@46 292298@253
46         0.0000 0.0000	
47         0.0048 0.0033	73931@307 122591@418 335634@480
48         0.0195 0.0123	61500@81 307140@104 327320@111
49         0.0000 0.0000	
50         0.0000 0.0000	
51         0.0000 0.0000	
52         0.0000 0.0000	
53         0.0000 0.0000	
54         0.0000 0.0000	
55         0.0092 0.0116	307202@86 244143@297
56         0.0000 0.0000	
57         0.0041 0.0028	38941@358 39842@366
58         0.0217 0.0217	295919@46
59         0.0000 0.0000	
60         0.0000 0.0000	
61         0.0000 0.0000	
62         0.0000 0.0000	
63         0.0455 0.0455	310063@22
64         0.0132 0.0132	152219@76
65         0.3645 1.0000	70235@1 211253@37 2078@76
66         0.0102 0.0102	300484@98
67         0.1837 0.1429	186533@7 52478@13 364125@16 342722@17 97972@19 374972@29 142093@30 87433@62 190006@89
68         0.0000 0.0000	
69         0.0000 0.0000	
70         0.0034 0.0034	111830@295
71         0.5000 0.5000	370454@2
72         0.1556 0.1111	220258@9 82712@10
73         0.1270 0.1111	359892@9 310606@14
74         0.0000 0.0000	
75         0.0000 0.0000	
76         0.1429 0.1429	66537@7
77         0.0202 0.0154	303749@65 276551@80
78         0.4500 0.5000	31349@2 255057@5
79         0.1071 0.1111	82712@9 309217@11 48332@106
80         0.0879 0.1667	317679@6 254100@34 273412@39 187193@81
81         0.0048 0.0037	357810@269 233632@345
82         0.0000 0.0000	
83         0.0000 0.0000	
84         0.0645 0.0556	165467@18 23536@19 21674@92
85         0.0000 0.0000	
86         0.0629 0.0385	25150@26 14397@28 319911@38
87         0.0076 0.0084	175928@119 177172@297
88         0.0000 0.0000	
89         0.0000 0.0000	
90         0.0000 0.0000	
91         0.3333 0.3333	345345@3
92         0.0000 0.0000	
93         0.0085 0.0085	207935@117
94         0.0000 0.0000	
95         0.0054 0.0054	230581@185
96         0.0064 0.0064	281075@156
97         0.0000 0.0000	
98         0.0026 0.0026	177172@386
99         0.0000 0.0000	
100        0.0081 0.0081	208780@123
101        0.0000 0.0000	
102        0.0000 0.0000	
103        0.0000 0.0000	
104        0.1341 0.1429	38941@7 24825@8 327563@41 207916@57
105        0.0277 0.0303	311604@33 311262@80
106        0.0672 0.1250	119913@8 231280@215
107        0.0000 0.0000	
108        0.0055 0.0055	310583@181
109        0.0064 0.0048	151596@208 378590@251
110        0.3581 1.0000	264376@1 204126@34 127453@193
111        0.0000 0.0000	
112        0.0513 0.0400	327677@25 55388@32
113        0.0054 0.0040	207935@250 334187@293
114        0.0000 0.0000	
115        0.0192 0.0192	183736@52
116        0.0161 0.0161	86209@62
117        0.0000 0.0000	
118        0.0000 0.0000	
119        0.0000 0.0000	
120        0.0564 0.0769	38327@13 259418@31 322080@36 275439@98 284268@307
121        0.0036 0.0036	25664@279
122        0.0000 0.0000	
123        0.0000 0.0000	
124        0.0000 0.0000	
125        0.0069 0.0036	38941@279 105434@288 190270@292
126        0.0000 0.0000	
127        0.0050 0.0043	76064@230 68212@355
128        0.0909 0.0909	306190@11
129        0.0000 0.0000	
130        0.0000 0.0000	
131        0.0161 0.0112	125624@89 364970@97 116901@202 69843@224
132        0.0145 0.0172	322631@58 157555@104 40311@421
133        0.0000 0.0000	
134        0.0000 0.0000	
135        0.0048 0.0035	165178@288 371835@454 100960@462
136        0.0000 0.0000	
137        0.0000 0.0000	
138        0.0345 0.0345	117734@29
139        0.0092 0.0092	343684@109
140        0.0000 0.0000	
141        1.0000 1.0000	38941@1
142        0.1747 0.5000	56926@2 70550@187 301623@222
143        0.0000 0.0000	
144        0.0379 0.0476	12985@21 307202@62 244143@71 261596@136
145        0.0000 0.0000	
146        0.0127 0.0127	255589@79
147        0.3402 1.0000	216927@1 6622@14 42614@22 288130@49
148        0.0172 0.0172	307943@58
149        0.0064 0.0064	305173@156
150        0.0000 0.0000	
151        0.0000 0.0000	
152        0.0000 0.0000	
153        0.3438 1.0000	42428@1 185028@121 75497@201
154        0.0000 0.0000	
155        0.0000 0.0000	
156        0.0250 0.0244	137184@41 70687@78
157        0.0000 0.0000	
158        0.0000 0.0000	
159        0.0000 0.0000	
160        0.0000 0.0000	
161        0.3574 0.5000	91177@2 315812@6 24825@7 243769@10 165401@14 86545@16 292298@65
162        0.0000 0.0000	
163        0.0000 0.0000	
164        0.0000 0.0000	
165        0.0081 0.0081	219794@124
166        0.0389 0.0455	322415@22 350475@65 41965@74
167        0.0094 0.0128	224392@78 364008@337
168        0.0000 0.0000	
169        0.0050 0.0046	120304@219 32673@370
170        0.0385 0.0385	234921@26
171        0.0000 0.0000	
172        0.0278 0.0278	352923@36
173        0.0000 0.0000	
174        0.0000 0.0000	
175        0.0025 0.0025	244143@404
176        0.0000 0.0000	
177        0.0000 0.0000	
178        0.0000 0.0000	
179        0.0000 0.0000	
180        0.0569 0.1000	177172@10 25150@145
181        0.0000 0.0000	
182        0.0000 0.0000	
183        0.1667 0.1667	72350@6
184        0.0000 0.0000	
185        0.0000 0.0000	
186        0.0166 0.0159	302247@63 302369@116
187        0.0000 0.0000	
188        0.0339 0.0667	117622@15 289214@94 292545@98 313281@233
189        0.1250 0.1250	40539@8
190        0.0000 0.0000	
191        0.0000 0.0000	
192        0.0000 0.0000	
193        0.0000 0.0000	
194        0.0000 0.0000	
195        0.0000 0.0000	
196        0.0909 0.0909	288638@11
197        0.1250 0.1250	43172@8
198        0.0000 0.0000	
199        0.0000 0.0000	
200        0.0000 0.0000	
201        0.0000 0.0000	
202        0.0384 0.0357	319911@28 91177@46 14397@66 217471@138
203        0.0000 0.0000	
204        0.0292 0.0476	315812@21 12985@124 68212@125
205        0.0217 0.0217	95414@46
206        0.0000 0.0000	
207        0.0000 0.0000	
208        0.0169 0.0169	25150@59
209        0.0000 0.0000	
210        0.0059 0.0042	68212@238 212702@262
211        0.0000 0.0000	
212        0.0000 0.0000	
213        0.0357 0.0357	62430@28
214        0.1055 0.2000	123266@5 234109@181
215        0.0137 0.0105	138917@95 363719@158 204931@168
216        0.0027 0.0027	228276@368
217        0.0175 0.0175	296684@57
218        0.0030 0.0030	307140@332
219        0.0000 0.0000	
220        0.5000 0.5000	172111@2
221        0.0208 0.0208	203143@48
222        0.0342 0.0667	332338@15 184367@39 12985@165 101650@169 177172@226 307140@258
223        0.0000 0.0000	
224        0.0000 0.0000	
225        0.0000 0.0000	
226        0.0000 0.0000	
227        0.0083 0.0083	292864@120
228        0.0108 0.0108	14397@93
229        0.0000 0.0000	
230        0.0000 0.0000	
231        0.0000 0.0000	
232        0.0104 0.0104	281370@96
233        0.0000 0.0000	
234        0.0000 0.0000	
235        0.0135 0.0135	138672@74
236        0.0000 0.0000	
237        0.0000 0.0000	
238        0.0050 0.0050	2817@202
239        0.0000 0.0000	
240        0.0000 0.0000	
241        0.0000 0.0000	
242        0.4111 0.3333	155424@3 186533@5 333064@6
243        0.0312 0.0312	375308@32
244        0.0000 0.0000	
245        0.0050 0.0050	158688@201
246        0.0000 0.0000	
247        0.0000 0.0000	
248        0.0074 0.0062	152870@162 229088@314 240911@315
249        0.0270 0.0270	347348@37
250        0.0478 0.0833	186533@12 138672@163
251        0.0000 0.0000	
252        0.0087 0.0118	178938@85 169838@352
253        0.0278 0.0278	234064@36
254        0.2572 0.5000	145576@2 239164@138
255        0.0000 0.0000	
256        0.0000 0.0000	
257        0.0000 0.0000	
258        0.0264 0.0213	25150@47 288653@58 123630@113 87433@177 307202@186
259        0.1094 0.2500	295970@4 286247@8 269057@23 194549@84 274231@123 100985@266 336929@285
260        0.0841 0.2000	99944@5 309280@48 375397@69 351396@78
261        0.2000 0.2000	191113@5
262        0.0312 0.0286	38941@35 242151@39 253868@112 334240@116 309672@331
263        0.0316 0.0833	68212@12 217471@128 314086@204 243769@315
264        0.0000 0.0000	
265        0.2151 1.0000	378702@1 219990@73 203980@125 176887@336 229332@416
266        0.0084 0.0055	293008@182 84774@262 114550@329 317418@349
267        0.0000 0.0000	
268        0.0000 0.0000	
269        0.0196 0.0196	121725@51
270        0.0029 0.0029	285713@347
271        0.0135 0.0139	311856@72 221730@153
272        0.0444 0.0333	241705@30 24825@36
273        0.0000 0.0000	
274        0.0000 0.0000	
275        0.1310 0.5000	267223@2 195856@19 326130@112 156127@358 141832@423
276        0.0700 0.1000	57755@10 219428@50
277        0.0072 0.0072	280507@139
278        0.0102 0.0074	59574@136 304867@154
279        0.0000 0.0000	
280        0.0000 0.0000	
281        0.0833 0.0833	275265@12
282        0.0000 0.0000	
283        0.0000 0.0000	
284        0.0048 0.0048	142745@210
285        0.0122 0.0122	65276@82
286        0.0091 0.0080	81415@125 324455@197
287        0.0041 0.0041	231139@245
288        0.0196 0.0196	154276@51
289        0.0022 0.0022	341073@463
290        0.2667 0.3333	112441@3 145952@10
291        0.0000 0.0000	
292        0.0000 0.0000	
293        0.0769 0.0769	216172@13
294        0.0156 0.0156	238136@64
295        0.0000 0.0000	
296        0.0033 0.0033	359353@302
297        0.0060 0.0046	336193@218 91177@273
298        0.0092 0.0092	6969@109
299        0.0081 0.0097	145422@103 182953@261 334460@434
300        0.0000 0.0000	
301        0.0000 0.0000	
302        0.0118 0.0118	292380@85
303        0.0061 0.0041	243769@241 384923@249
304        0.1703 0.3333	360328@3 75636@276
305        0.0265 0.0270	82581@37 243012@77
306        0.0000 0.0000	
307        0.0000 0.0000	
308        0.0000 0.0000	
309        0.0104 0.0104	287988@96
310        0.0000 0.0000	
311        0.0050 0.0050	252503@201
312        0.0096 0.0096	289658@104
313        0.0260 0.0370	12985@27 68212@51 123630@164 289238@425
314        0.0000 0.0000	
315        0.0000 0.0000	
316        0.0049 0.0032	307414@311 129495@432 186533@445
317        0.0000 0.0000	
318        0.0476 0.0476	288264@21
319        0.0054 0.0038	27203@262 59601@287
320        0.0000 0.0000	
321        0.0035 0.0035	214484@282
322        0.0303 0.0526	219562@19 250922@126 4870@134
323        0.0257 0.0294	23499@34 61229@91
324        0.2177 1.0000	82994@1 349184@76 277126@153 217471@175 197056@255
325        0.0000 0.0000	
326        0.0025 0.0025	319911@401
327        0.0000 0.0000	
328        0.0111 0.0111	357810@90
329        0.0000 0.0000	
330        0.0000 0.0000	
331        0.0000 0.0000	
332        0.0000 0.0000	
333        0.0000 0.0000	
334        0.0000 0.0000	
335        0.0000 0.0000	
336        0.0000 0.0000	
337        0.0000 0.0000	
338        0.0000 0.0000	
339        0.0794 0.2000	123245@5 92976@31 65061@112 256341@153
340        0.1212 0.1111	14397@9 187097@12 183790@35
341        0.0427 0.0769	20666@13 91177@43 340787@90 233632@282
342        0.3845 1.0000	233623@1 366647@2 170877@14 102668@58 364085@441 145952@486
343        0.0000 0.0000	
344        0.0194 0.0104	345469@96 53754@102 95266@106
345        0.0000 0.0000	
346        0.0194 0.0270	190006@37 305383@169
347        0.0000 0.0000	
348        0.0087 0.0062	273605@161 333259@179
349        0.0000 0.0000	
350        0.2361 0.2500	25150@4 288653@9
351        0.2272 0.5000	12985@2 190006@13 217471@108
352        0.0123 0.0123	125667@81
353        0.0000 0.0000	
354        0.0000 0.0000	
355        0.0000 0.0000	
356        0.0989 0.1250	288653@8 54386@21 314086@34 14397@46
357        0.0000 0.0000	
358        0.0000 0.0000	
359        0.0337 0.0769	316766@13 12985@184 172483@223
360        0.0043 0.0043	12985@234
361        0.0000 0.0000	
362        0.0000 0.0000	
363        0.0213 0.0213	8132@47
364        0.0000 0.0000	
365        0.0275 0.0200	161472@50 37133@57
366        0.0000 0.0000	
367        0.2549 0.5000	2182@2 41709@205
368        0.0000 0.0000	
369        0.0000 0.0000	
370        0.0078 0.0058	92189@173 211253@204
371        0.1152 0.2500	12985@4 68212@21 244143@39 266750@103
372        0.0097 0.0097	12985@103
373        0.0000 0.0000	
374        0.0289 0.0455	155130@22 170541@161
375        0.0000 0.0000	
376        0.0000 0.0000	
377        0.0000 0.0000	
378        0.0328 0.0500	306848@20 76972@50 285879@99 200436@366
379        0.0000 0.0000	
380        0.0000 0.0000	
381        0.0672 0.1429	170541@7 14397@13 192716@54 333259@105 242151@113 129495@149 86689@152 359476@474
382        0.0076 0.0096	11630@104 383719@361
383        0.0000 0.0000	
384        0.0000 0.0000	
385        0.0213 0.0213	178585@47
386        0.0000 0.0000	
387        0.1658 1.0000	117177@1 16774@62 254957@87 368371@145 21767@184 115162@260 373947@432
388        0.0099 0.0099	2078@101
389        0.1000 0.1000	170497@10
390        0.5000 0.5000	342473@2
391        0.0159 0.0118	14395@85 121982@122 198838@154
392        0.0244 0.0244	292703@41
393        0.0118 0.0118	139282@85
394        0.0080 0.0055	16220@183 187097@191
395        0.0000 0.0000	
396        0.0547 0.0714	385822@14 233632@34 215027@89
397        0.0000 0.0000	
398        0.0000 0.0000	
399        0.0089 0.0089	337757@112
400        0.0000 0.0000	
401        0.0167 0.0167	25150@60
402        0.1000 0.1000	302369@10
403        0.0032 0.0021	311933@472 71476@474
404        0.0000 0.0000	
405        0.0000 0.0000	
406        0.0181 0.0227	197324@44 54386@111 177172@112 52478@344 38941@357 199983@368 241705@411
407        0.0128 0.0128	195347@78
408        0.0000 0.0000	
409        0.1429 0.1429	50871@7
410        0.0252 0.0435	241723@23 145141@153 367757@157
411        0.0000 0.0000	
412        1.0000 1.0000	25150@1 12985@2
413        0.0000 0.0000	
414        0.3591 0.5000	63281@2 278925@3 169841@5 273606@13 116818@17 349346@78 31386@102
415        0.0089 0.0095	322970@105 165178@240
416        0.0139 0.0109	331845@92 6489@118
417        0.0241 0.0233	259089@43 112648@80
418        0.0769 0.0769	107583@13
419        0.0000 0.0000	
420        0.5000 0.5000	100665@2
421        0.2292 0.3333	190327@3 174607@16
422        0.0000 0.0000	
423        0.0000 0.0000	
424        0.0614 0.1000	240979@10 26693@88
425        0.0425 0.0714	203004@14 162905@35 142670@92 335634@460
426        0.0024 0.0024	68212@417
427        0.0000 0.0000	
428        0.0980 0.3333	266581@3 221730@149 14397@153 142602@157
429        0.0000 0.0000	
430        0.0119 0.0135	54386@74 302247@218 68212@230
431        0.0833 0.0833	205504@12
432        0.0000 0.0000	
433        0.0402 0.0588	137804@17 374400@32 204071@156 286060@197
434        0.0110 0.0110	196676@91
435        0.0233 0.0345	293567@29 207335@114 214508@168
436        0.0042 0.0032	10986@309 364852@391
437        0.0000 0.0000	
438        0.0000 0.0000	
439        0.0139 0.0109	290239@92 246030@118
440        0.0000 0.0000	
