MAP 0.0248153897795
MrecR 0.0368016232005
1          0.0099 0.0099	351764@101
2          0.0000 0.0000	
3          0.0000 0.0000	
4          0.0000 0.0000	
5          0.0000 0.0000	
6          0.0097 0.0097	180413@103
7          0.0000 0.0000	
8          0.0833 0.0833	319911@12
9          0.0029 0.0029	189725@344
10         0.0051 0.0049	147298@204 267178@372
11         0.0000 0.0000	
12         0.0000 0.0000	
13         0.0526 0.0526	245936@19
14         0.0000 0.0000	
15         1.0000 1.0000	288653@1
16         0.0205 0.0294	211334@34 128469@174
17         0.0992 0.2000	333259@5 241705@16 245012@37 310418@81 132813@124
18         0.1667 0.1667	314086@6
19         0.0099 0.0099	351764@101
20         0.0027 0.0027	348798@368
21         0.1704 0.5000	177172@2 302247@7 310418@81 136139@229 267326@424
22         0.0000 0.0000	
23         0.0033 0.0033	252531@301
24         0.0040 0.0038	139370@261 154250@475
25         0.0959 0.0556	221730@18 165401@20 244143@23 248603@41
26         0.0000 0.0000	
27         0.0383 0.0526	245936@19 383719@50 334240@82 253868@167
28         0.0111 0.0111	223714@90
29         0.0000 0.0000	
30         0.0046 0.0034	233793@293 349271@341
31         0.0189 0.0189	192425@53
32         0.0000 0.0000	
33         0.1287 0.2500	123630@4 319911@12 192716@22 115162@52 248176@367
34         0.0000 0.0000	
35         0.3261 1.0000	288653@1 123630@4 259912@61 314350@65 205995@253
36         0.0127 0.0127	183796@79
37         0.0000 0.0000	
38         0.0000 0.0000	
39         0.0908 0.1667	314086@6 165401@20 357810@63 334240@82
40         0.0000 0.0000	
41         0.0682 0.0909	217471@11 348629@44
42         0.0000 0.0000	
43         0.0022 0.0022	140746@456
44         0.0000 0.0000	
45         0.0126 0.0182	292298@55 191309@289
46         0.0370 0.0370	138672@27
47         0.0189 0.0123	310418@81 335634@83 122591@149
48         0.0139 0.0109	307140@92 309958@118
49         0.0000 0.0000	
50         0.0000 0.0000	
51         0.0000 0.0000	
52         0.0000 0.0000	
53         0.0061 0.0061	207108@165
54         0.0670 0.1250	243769@8 261901@222
55         0.0935 0.1000	307202@10 244143@23
56         0.0000 0.0000	
57         0.0204 0.0250	208383@40 285387@127
58         0.0108 0.0120	335634@83 320522@154 295919@415
59         0.0000 0.0000	
60         0.0308 0.0263	165753@38 183790@54 180413@103
61         0.0000 0.0000	
62         0.0080 0.0080	229348@125
63         0.0045 0.0045	231280@220
64         0.0000 0.0000	
65         0.0028 0.0028	195624@354
66         0.0000 0.0000	
67         0.0115 0.0093	190006@107 364125@148 374972@255 282103@347
68         0.0022 0.0022	146033@464
69         0.0000 0.0000	
70         0.0033 0.0033	307268@300
71         0.0000 0.0000	
72         0.0286 0.0286	373947@35
73         0.0000 0.0000	
74         0.0000 0.0000	
75         0.0000 0.0000	
76         0.0022 0.0022	263933@455
77         0.0027 0.0027	303749@369
78         0.0159 0.0159	357810@63
79         0.0000 0.0000	
80         0.0000 0.0000	
81         0.0215 0.0159	357810@63 233632@74
82         0.0036 0.0036	289099@281
83         0.0000 0.0000	
84         0.0000 0.0000	
85         0.0000 0.0000	
86         0.0833 0.0833	319911@12
87         0.5000 0.5000	177172@2
88         0.0000 0.0000	
89         0.0000 0.0000	
90         0.0435 0.0435	244143@23
91         0.0034 0.0034	233793@293
92         0.0000 0.0000	
